org_name,last_updated,neighborhood,address,latitude,longitude,site_updates,currently_open_for_receiving,opening_for_receiving,closing_for_receiving,currently_open_for_distributing,opening_for_distributing,closing_for_distributing,urgent_need,accepting,not_accepting,seeking_volunteers,seeking_translators,hot_meals,legal_support,covid_testing,pet_vaccination_health,pet_food,housing_support,food_delivery,wheelchair_accessible,elder,youth,baby_toddler,immigration_naturalization,eye_exams,dental,transportation_vouchers,clothing,insurance_not_needed,refugee_services,vaccinations_general,mental_health_services,healing_resources,art_resources,community_service,education,lgbtqia_supportive,qtibpoc_supportive,trans_supportive,black_run,indigenous_owned,community_run,spanish_speaking,somali_speaking,karen_speaking,memorial_space,medic_on_site,protest,seeking_money,seeking_money_url,delivery_only,distribution_to_residents_only,restricted_distribution,produce,household_supplies,needle_exchange,warming_site,no_id_needed,some_info_required,by_appointment,black_own,indigenous_run,public_transit,COVID_Vaccination
Annex Teen Clinic,6/7/2023 10:37am,,"5810 42nd Avenue North, Robbinsdale, MN 55422",45.0323956,-93.3540958,"Open:
10am-5pm Monday, Tuesday, Wednesday, and Friday
10am-7pm on Thursdays

Free internal and external condoms, dental dams, and personal PPE as well as informational flyers on sexual health. No ID needed. 

The price of other clinic services is pay-what-you-can. If unable to pay what you can for services, long-term care would require ID, but is not needed to access services initially. Call or visit the clinic to learn more.      

The Annex Teen Clinic is a sexual health clinic serving young people through age 25 with education and clinical services. We’ve served this community as a valuable, trustworthy source for clinic services and education since 1971. 

https://annexteenclinic.org/ 
Phone: 763-533-1316 ",no,----,,no,----,,,,,Yes! Learn more and sign up at https://forms.office.com/r/mLWVAuZfL7,,,,,,,,,,,checked,,,,,,,,,,,checked,,,,checked,,checked,,,,,,,,,,checked,https://www.givemn.org/organization/Annexteenclinic,,,,,,,,checked,checked,,,,"716-BUS-(1 block),717-BUS-(1 block),764-BUS (1 block)",
Keystone Foodmobile Grocery Distribution - Davita Dialysis,5/27/2024 1:49pm,Capitol,"555 Park St, Saint Paul, MN 55103",44.9583300,-93.1041100,"Free Food Distribution
Usually two consecutive days each month: 9:30am-11:30am.

Upcoming 2024 dates:
May 28

Open to anyone needing food support. We will be distributing shelf stable groceries, produce, dairy, meat and other items in a safe, socially distanced manner.
This does count as a food shelf service, so participants will be asked a few questions prior to accessing food. Please note that the Foodmobile is a Keystone food shelf and thus participants can only access services once a month. 

More information: https://keystoneservices.org/food-shelves/foodmobile/ 
Facebook Events: https://www.facebook.com/KeystoneCommunityServices/events ",no,----,,no,----,,,,,(as of 15 Feb 2024) Yes; find info on website: https://keystoneservices.org/volunteer/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,"3-BUS-(2 blocks),67-BUS-(2 blocks)",
La Viña Burnsville/South Metro Vineyard Church,4/10/2024 12:35pm,South Suburbs,"13798 Parkwood Dr, Burnsville, MN 55337",44.7557500,-93.2602700,"Drive-through food distribution every Monday (other than federal holidays) 4pm-6pm. Donations of dry goods accepted Sundays 1-3pm and Mondays 11am-1pm.

The distribution is a drive-thru. You will remain in your car the entire time and we will load the food into your vehicle. The distribution is first come, first serve until we run out of food.  

No hay ningun requisito. Solo ven y con tu auto, fórmate en la línea. No tienes que bajar de tu auto, nosotros pondremos todo en el baul.",no,----,,no,----,,,"(10/24) Items requested:  beans, rice, peanut butter, canned goods, cereal and boxed meals like macaroni and cheese, etc.",,"(as of 10/24) Yes! Seeking volunteers Mondays 1:30-7:00.

Se solicitan voluntarios todos los lunes de 1:30pm a 7:00pm.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,442-BUS-(2 blocks),
ZOE Church,6/5/2024 7:53pm,South Suburbs,"14300 Burnsville Pkwy, Burnsville MN 55306",44.7433300,-93.3246500,"Market Day takes place on the 
Fourth Tuesday of each month: 1pm-3:30pm 

We have everything from fresh produce, meat, dairy, bread, canned goods, etc. Generally there is no limit to what you can take.

You can come as early as 10am to get your number (which is your place in line), but food distribution begins at 1pm and ends a 3:30pm. You do not need to stay if you pick up your number early. Boxes will be provided for food.

When you arrive, park towards the far right side of the building and enter in the far right doors (door 6N).

Website: https://zchurch.churchcenter.com/registrations/events/1378707 ",no,----,,no,----,,,,,"(as of 25 Jan 2024) Yes! If you would like to join the volunteer team, please arrive by 11am.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444-BUS-(2 blocks),447-BUS-(2 blocks)",
Food Shelf-In-A-Box at Folwell School Pop-Up Mobile,4/10/2024 10:57pm,Standish,"3611 20th Ave S, Minneapolis, MN 55407",44.9368200,-93.2429400,"Food Shelf in a Box!
Distribution: 3rd Tuesday of each month from 3:00 pm – 5:00 pm

Contact
info@goodinthehood.org
612-217-4003",no,----,,no,----,,,,,"Yes, find info at https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23-BUS-(2 blocks),22-BUS-(1 block)",
Food Shelf-In-A-Box at Hmong Int'l Academy Pop-up Mobile,4/10/2024 11:00pm,Jordan,"1501 30th Avenue North, Minneapolis, MN 55411",45.0113200,-93.2980800,"Food Shelf in a Box!
3rd Thursday of each month: 4pm-5:30pm

Contact
info@goodinthehood.org
612-217-4003

https://www.goodinthehood.org/our-programs/feeding-the-future/foodshelf-in-a-box/",no,----,,no,----,,,,,"Yes, find info at https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5-BUS-(2 blocks),32-BUS-(1 block)",
Food Shelf-In-A-Box at Weaver Elementary Pop-Up Mobile,4/10/2024 11:13pm,Northeast Suburbs,"2135 Birmingham Street, Maplewood, MN 55019",45.0055800,-93.0412200,"Distribution: 2nd Wednesday of each month: 3-5pm

https://www.goodinthehood.org/our-programs/food-programs/foodshelf-in-a-box/ 

Contact
info@goodinthehood.org
612-217-4003",no,----,,no,----,,,,,"Yes, find info at https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64-BUS-(1 block),
Food Shelf-In-A-Box at Cowern Elementary,4/10/2024 10:53pm,Northeast Suburbs,"2131 Margaret St, North Saint Paul, MN 55109",45.0055800,-92.9929800,"Food Shelf in a Box!
3rd Wednesday of each month: 4:00 pm – 6:00 pm

Contact
info@goodinthehood.org
612-217-4003",no,----,,no,----,,,,,"Yes, find info at https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64-BUS-(3 blocks),
Food Shelf-In-A-Box at Castle Elementary,4/10/2024 10:52pm,Northeast Suburbs,"6675 50th St. N, Oakdale, MN 55128",45.0201200,-92.9709700,"Food Shelf in a Box!
1st Wednesday of each month: 4:30 pm – 6:30 pm

Contact
info@goodinthehood.org
612-217-4003",no,----,,no,----,,,,,"Yes, find info at https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One91 Community Pantry: Diamondhead Education Center,5/22/2024 9:22pm,South Suburbs,"200 W Burnsville Pkwy, Burnsville, MN 55337",44.7724431,-93.2816298,"The Pantry runs the first and third Tuesdays of each month, from 2-4pm or until food runs out. Food is available to the public.
(From June to October, there is also produce distribution on the second and fourth Tuesday of each month.)

The 191 Community Pantry is available year-round. Recipients receive a grocery bag of non-perishable items and a small box of assorted fruits and vegetables.

Pantry pick-up is located at Diamondhead Education Center, 200 W. Burnsville Pkwy in Burnsville (Door 9 - Pleasant Avenue Entrance).",no,----,,no,----,,,,,(as of 12/2023) Yes! More info here: https://www.signupgenius.com/go/5080844a4ab23aafe3-191community#/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444-BUS-(1 block),Orange-ORANGELINE-(3 blocks)",
One91 Community Pantry: Edward Neill Elementary,5/22/2024 9:28pm,South Suburbs,"13409 Upton Ave S, Burnsville, MN 55337",44.7600587,-93.3128843,"Drive-through pick up food distribution on the 3rd Wednesday of each month (from September to May) from 3:30 - 5:30 p.m.  (No summer distribution!)

Focused on Neill families and neighborhood, but food distribution is open to the public. Food is free and usually includes both dry goods and fresh produce, as well as dairy and meat when available.  ",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444-BUS-(3 blocks),
Sisters' Camelot Food Share: Urban Research and Outreach-Engagement Center (UROC),4/29/2024 10:51pm,Near North,"2001 Plymouth Ave N, Minneapolis, MN 55411",44.9914896,-93.3062961,"First Thursday of each month: 2pm - 3pm

Upcoming 2024 dates: 
May 2

 Please stand outside the side door and someone will set the bag out for you. If you have clean paper grocery bags to donate, please bring those with you. Please bring a reusable shopping bag/box/cart/something sturdy to help you carry both the paper bag of groceries we pass out and the extra produce that is usually available in addition. Feel free to wear a mask if you wish, and please mask or stay home if you have symptoms of viral illness.

Por favor párase afuera de la puerta y alguien pondrá la bolsa afuera. Si tiene bolsas de papel limpias para donar, tráigalas con usted por favor. Por favor traiga una bolsa de compras reutilizable/caja/carrito/algo duradero que le ayude a llevar tanto la bolsa de papel con los comestibles que repartimos y los productos adicionales que normalmente están disponibles además. Si lo desea, siéntase libre de usar una máscara y, por favor, cúbrase o quédese en casa si tiene síntomas de una enfermedad viral.

The beloved kitchen bus needs new tires and other mechanical repairs in order to continue traveling safely. To learn more, share, and/or donate:
Facebook post: https://www.facebook.com/SistersFoodshare/posts/1370004926841779 
GiveMN Campaign: https://www.givemn.org/story/Sq5i5g 

Frequent locations include:
- Walker Church (3104 16th Ave S in Minneapolis)
- Bethany Church (2511 Franklin Ave East in Minneapolis)
- Park Avenue Church (3400 Park Avenue South in Minneapolis)
- UROC (2001 Plymouth Ave N in Minneapolis)
- St. Mary's University Center (2540 Park Avenue South in Minneapolis)",no,----,,no,----,,,"(as of 01/2024) Clean paper grocery bags, Ziploc bags",,"(as of 11/2023) Yes, always in need of volunteers at this location! Volunteers should arrive at 12:30pm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.givemn.org/organization/Sisterscamelot,,,,,,,,checked,,,,,"7-BUS-(1 block),32-BUS-(1 block)",
Cash Money Ryders Food Distribution @ Rondo,6/28/2023 9:41pm,Rondo,"609 Dale St N, St. Paul, MN 55103",44.9598648,-93.1263419,"Distributing food every Thursday, 12-3 pm, with Sanneh Foundation.",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65-BUS-(1 block),67-BUS-(1 block)",
Partnership Academy,2/28/2024 10:12pm,South Suburbs,"6500 Nicollet Ave, Richfield, MN 55423",44.8852295,-93.2782928,"Distributing food through Sanneh Foundation's Latino Outreach program from 3pm-5pm every other Saturday (spring dates: March 2, 16, and 30; April 13 and 27; May 11 and 25)",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18-BUS-(1 block),515-BUS-(1 block)",
"Keystone Foodmobile Grocery Distribution - New Life Church, Roseville",5/27/2024 1:50pm,NE Suburbs,"965 Larpenteur Ave W, Roseville, MN 55113",44.9926645,-93.1405114,"Free Food Distribution
One day each month: 2pm - 4pm

Upcoming 2024 dates:
Thursday, May 16

Open to anyone needing food support. We will be distributing shelf stable groceries, produce, dairy, meat and other items in a safe, socially distanced manner.

This does count as a food shelf service, so participants will be asked a few questions prior to accessing food. Please note that the Foodmobile is a Keystone food shelf and thus participants can only access services once a month. 

More information: https://keystoneservices.org/food-shelves/foodmobile/ 

https://www.facebook.com/events/308940684439491/ ",no,----,,no,----,,,,,(as of 15 Feb 2024) Yes; find info on website: https://keystoneservices.org/volunteer/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,61-BUS-(1 block),
Food Shelf-In-A-Box at Universal Christian Ministries (UCM),4/10/2024 11:12pm,St. Anthony Park,"997 Raymond Ave, St Paul, MN 55114",44.9709969,-93.1976888,"Food Shelf in a Box!
2nd Wednesday of month from 2:00 pm – 4:00 pm

https://www.goodinthehood.org/our-programs/food-programs/foodshelf-in-a-box/ 

Contact
info@goodinthehood.org
612-217-4003",no,----,,no,----,,,,,"Yes, find info at https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87-BUS-(1 block),
LCM Church,10/24/2022 3:41pm,NW Suburbs,"1200 69th Ave N Brooklyn Center, MN 55430",45.0809500,-93.2968100,"Hot meal served every Wednesday night, 5pm-6:30pm. Menu is posted each week on Facebook: https://www.facebook.com/lcmonline55430/",no,----,,no,----,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,"22-BUS-(2 blocks),722-BUS-(2 blocks),763 Express-BUS-(3 blocks)",
Food Shelf-in-a-Box at Nokomis East,4/10/2024 11:08pm,Wenonah,"5540 30th Ave S, Minneapolis, MN 55417",44.9022500,-93.2301500,"Food Shelf in a Box!
2nd & 4th Wednesdays of the month: 2pm - 4pm

FREE fresh produce, dairy, meat, canned & boxed foods, cleaning supplies & personal supplies at Crosstown Covenant Church
Wear a mask & bring grocery bags!

Organized by Crosstown Covenant Church and Trinity Lutheran Church of Minnehaha Falls, in Partnership with Good in the ‘Hood and the Nokomis East Neighborhood Association

Questions:
nokomiseastfood@gmail.com
612-217-2769
English/Español

https://nokomiseast.org/free-food/ 

info@goodinthehood.org
612-217-4003

https://www.goodinthehood.org/our-programs/feeding-the-future/foodshelf-in-a-box/",no,never,,no,----,,,,,Yes - see https://www.signupgenius.com/go/9040b48adaa283-nokomis5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,checked,,,,,,,,,22-BUS-(2 blocks),
Community Action Center of Northfield- NCEC location,4/10/2024 11:52am,,"700 Lincoln Parkway Northfield, MN 55057",44.4697362,-93.1699220,"Open Thursdays, 3pm–7pm

Walk-ins welcome- no appointment needed!
-Food is available for anyone who needs it up to once per week.
-No ID or proof of income is required. Minimal information is requested (name, address, number of people in your household, ages).
-Any information shared with us is kept confidential.
-Our staff speak English, Spanish, and Somali.
-No transportation? We can deliver!

Questions? Fill out the contact form (https://communityactioncenter.org/get-help/) or call all us at (507) 664-3585.",no,----,,no,----,,,,,"(as of 04/2023)
Yes, in both Northfield and Faribault. Find more volunteering info at  https://communityactioncenter.org/volunteer/",,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,checked,https://communityactioncenter.org/donate/,,,,checked,,,,checked,,,,,,
All Nations Youth and Community Assistance Program,7/12/2023 10:42am,Willard-Hay,"2315 24th Ave N, Minneapolis, MN 55411",45.0041306,-93.3101550,"Please join All Nations Youth and Community Assistance Program on Fridays from 11:30 am to 2:30 pm for a free food Distribution. Please come early-- food often runs out by 1:30 pm.

Contact: 612-707-4030 or 763-777-1840",no,never,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14-BUS-(1 block),CLine-BUS-(1 block),5-BUS-(2 blocks),32-BUS-(2 blocks)",
Big Lake Community Food Shelf,4/10/2024 11:57am,,"160 Lake St North, Big Lake, MN 55309",45.3333355,-93.7448937,"The food shelf is located at 160 Lake St. N in the City Hall building.

Distribution hours and types: 
Monday 5:30–7:30 p.m. (Online Ordering Appt. Only)
Tuesday: 11:00 a.m.–12:30 p.m. (Pop Up Pantry)
Wednesday: 9–11 a.m.  (Online Ordering Appt. Only)
Thursday 5:30–7:30pm (Walk-In Only)
Friday 11:30 a.m.–12:30 p.m. (Freebie Friday)
Closed major holidays

At Big Lake Community Food Shelf, we treat our clients with the utmost dignity and respect they deserve. We are located in city hall.

We are a choice model food shelf, which means you will select the food you want. Due to Covid-19, we are currently using a paper (Thursday) or on-line (Monday/Wednesday) choice list, and volunteers pack your food for you.
- Mondays and Wednesdays are on-line ordering by appointment only.  Appointments must be set up 24 hours prior to service time.
- Thursdays are for walk-ins – no appointment needed.
- Tuesday and Friday events are extra events that do not affect your regular monthly visit.

Throughout the year, we offer special meals to help families get through traditionally hard seasons. Special services include Summer Kids Kits, Holiday Meal Bags, Birthday Bags, and Free Produce Days.
Learn more at https://blcfs.org/get-help/

DONATIONS
Donations can be dropped off at the food shelf during serving hours, placed in the after-hours bin located inside City Hall, or placed in the donation barrel at Coborns.",no,----,,no,----,,,"(3/31) We gladly accept the following:
- Non-expired, unopened, store-purchased, nonperishable food items
- Personal care products – shampoo, deodorant, soap, diapers, toilet paper, feminine hygiene products, toothpaste
- Cleaning supplies – laundry detergent, paper towels, kitchen and bathroom cleaners

Specific commonly needed items include:
- Meats, fish and protein – canned tuna, ham or chicken, beef stew, chili, peanut butter, canned/dried beans
- Fruits and vegetables – 100% fruit juice, canned fruits and vegetables, instant potatoes
- Complete meals – pasta & canned sauce, boxed meals, hearty soups
- Grains – cereal, rice
- Special diet foods – gluten-free, low-sugar, low-sodium
- Personal care products and cleaning supplies
https://blcfs.org/give-food/
",,"Yes!
We are always looking for volunteers interested in making a difference to help at the food shelf. We offer onetime, seasonal, and year round opportunities for individuals, families, and small groups. For safety concerns, we ask that volunteers are at least 16 years of age (unless a parent/guardian will be volunteering at the same time). We love to instill the value of volunteering at a young age!
Learn more at https://blcfs.org/give-time/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://blcfs.org/donate/,,,,checked,,,,,,checked,,,,
Agate Welcome Center -By Appointment Only-,8/2/2023 10:22am,Whittier,"2309 Nicollet Avenue, Minneapolis, MN 55404",44.9600500,-93.2774500,"Open by appointment, Monday - Friday, 9:00AM - 4:00PM

We do drop-ins for people experiencing unsheltered homelessness, generate people's birth certificates, set up mailboxes for them so they can receive mail on-site, hand out snack packs, and have a Representative Payee program for those receiving Social Security Disability or Supplemental Security Income payments who need a receiver and/or budgeting assistance 

Currently in need of Snack Packs, Welcome Baskets, and Comfort Kits to support people transitioning from homelessness into their own apartments and homes. Visit agatemn.volunteerhub.com/vv2/ for more information.",no,----,,no,----,,"Currently in need of Snack Packs, Welcome Baskets, Hygiene Kits and Comfort Kits to support people transitioning from homelessness into their own apartments and homes. Visit agatemn.volunteerhub.com/vv2/ for more information","Small TVs with built-in antenna, hands-on art supply kits, fans, hangers, disinfectant wipes, vacuums, comforters, shower mats, tub mats, dog food, cat food, cat litter, hairbrushes, coffee makers, small microwaves, toilet bowl cleaner, window cleaner, bleach, $10 gift cards (gas, Savers, Goodwill, coffee, fast food)",,Volunteer needs change frequently. Contact Noah Chan at noah.chan@agatemn.org or 612-327-6389. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,checked,,,"17-BUS-(1 block),18-BUS-(1 block)",
Keystone Foodmobile Grocery Distribution - Anpetu Teca,5/27/2024 1:49pm,NE Suburbs,"1910 County B Rd W, Roseville, MN 55113",45.0051711,-93.1801308,"Free Food Distribution
One day each month: 10:30am - 12pm

2024 upcoming dates:
Wednesday, May 22

Open to anyone needing food support. We will be distributing shelf stable groceries, produce, dairy, meat and other items in a safe, socially distanced manner.
This does count as a food shelf service, so participants will be asked a few questions prior to accessing food.
For more information about Keystone's Foodmobile visit - https://keystoneservices.org/food-shelves/foodmobile/ 

Keystone Facebook Page: https://www.facebook.com/KeystoneCommunityServices 
Keystone Facebook Events: https://www.facebook.com/KeystoneCommunityServices/events ",no,----,,no,----,,,,,(as of 15 Feb 2024) Yes; find info on website: https://keystoneservices.org/volunteer/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,87-BUS-(1 block),
Keystone Foodmobile Grocery Distribution- McDonough Recreation Center,5/27/2024 1:52pm,North End,"1544 Timberlake Rd, St Paul, MN 55117",44.9879447,-93.0924410,"Free Food Distribution
One day each month: 2pm - 4pm

2024 upcoming dates:
Monday, May 6

Open to anyone needing food support. We will be distributing shelf stable groceries, produce, dairy, meat and other items in a safe, socially distanced manner.

This does count as a food shelf service, so participants will be asked a few questions prior to accessing food. Please note that the Foodmobile is a Keystone food shelf and thus participants can only access services once a month. 

More information: https://keystoneservices.org/food-shelves/foodmobile/ 

https://www.facebook.com/events/381075166790179/381075183456844 ",no,----,,no,----,,,,,(as of 15 Feb 2024) Yes; find info on website: https://keystoneservices.org/volunteer/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,"68-BUS-(1 block),61-BUS-(2 blocks)",
Augustana Lutheran Church of West St. Paul,5/10/2023 7:24pm,South Suburbs,"1400 S Robert St, West St Paul, MN 55118",44.9043000,-93.0802400,"Serving a free drive-up to-go dinner every Thursday, 4:30-6pm.",no,----,,no,----,,,Amazon wishlist: https://www.amazon.com/registry/wishlist/1BPSUB9TA6HPB/ref=cm_sw_r_cp_ep_ws_qtOeCb6HNQ8Y8 ,,(as of 12/7) yes! Learn more and sign up here: https://www.signupgenius.com/go/30e0848aaaa22a0f94-community,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,"62-BUS-(1 block),68-BUS-(1 block),75-BUS-(1 block)",
Flourish Food Market,4/4/2024 12:26pm,South Uptown,"3501 Aldrich Ave S, Minneapolis MN 55408",44.9392600,-93.2891200,"Flourish is a plant-based food shelf open to in-person shopping every Wednesday from 1-3pm. Flourish offers food that is or is made from fruits, vegetables, whole grains, and legumes. We offer both shelf-stable and fresh food. 
Flourish is located in the Center of Belonging at 3501 Aldrich Ave S, Minneapolis.

We exist to provide access to fresh and healthy food options to households in communities where access to fresh and healthy food options can be difficult to come by. To that end, Flourish is committed to providing foods that promote full health and well-being.

Flourish Food Market is a collaborative partnership between Ace in the City and Rooted Green Wellness, and made possible through the support of Second Harvest Heartland and so many community members.

https://www.flourishfoodmarket.com/",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://aceinthecity.org/donate/,,,,checked,,,,,,,,,"4-BUS-(1 block),23-BUS-(2 blocks),114-BUS-(2 blocks)",
VEAP (Volunteers Enlisted to Assist People) - Mobile Food Pantry at Saint Nick’s Episcopal Church,2/1/2023 12:28pm,,"7227 Penn Ave South, Richfield MN 55423",44.8717311,-93.3081880,"Every Saturday from 2 – 4 p.m. or until food runs out

VEAP's Mobile Food Pantry brings fresh produce and other healthy foods directly to people in our service area.

All are welcome at the VEAP Mobile Food Pantry!  Check our events calendar for detailed information on our distribution locations and schedule: https://veap.org/events/",no,----,,no,----,,"Check https://veap.org/most-needed-items/ for the latest list. Currently, the items most needed are as follows:Whole grain rice (1-2 pound bags) & whole grain pastas
Hearty soups (high protein, low sodium)
Toilet paper
Paper towels
Diapers (size 5-7) and baby wipes
Whole grain cereal (like Shredded Wheat, Kashi, bran cereals, Chex, etc.)
Cooking oil
Coffee
Baking essentials (flour, sugar, spices, baking soda/powder)
Laundry detergent
Dish soap
Personal care items (shampoo, toothpaste, hand soap, shaving cream, toiletries, etc.)
Gluten-free products (whole grains like brown rice, wild rice, quinoa, cornmeal; nut flours and butters; rice crackers, GF snacks, etc. Check for gluten-free product label.)
Birthday cake frosting, birthday-themed napkins/plates, cake mix, small birthday party favors like chalk, bubbles or bags of balloons
Paper bags and re-usable totes (We’ll always take your extra paper grocery bags. We are not accepting plastic bag donations).","In addition to shelf-stable food and fresh produce, VEAP also accepts and highly encourages donations of household products like laundry detergent, soap, diapers, paper towels, shampoo, toothpaste, deodorant and all other home and personal hygiene products. 

We also accept pet food for our visitors with furry ones at home, as well as children’s books (baby board books, chapter books and middle/high school books) ","clothing, winter gear, furniture, medical equipment, toys (temporarily suspended), and utensils. Please visit our resource page for a list of other community partners that may take these items (https://veap.org/where-to-donate-items-veap-cannot-accept/).

Also can an only accept frozen and refrigerated products from organizations in the food industry and items must be individually labeled with ingredients & source/origin information
","Volunteers needed inside our pantry, warehouse and other areas at VEAP.

Additionally, volunteer drivers needed. No experience or vehicle needed. Drivers will drive a VEAP minivan to deliver prepackaged fresh and shelf-stable foods to seniors, participants with disabilities, as well as community members without transportation.

All volunteers ages 18 and older are required to complete a criminal background check prior to volunteering. Volunteer Drivers are also required to pass a motor vehicle check, have a valid driver’s license, and proof of insurance.
Driver shifts are on-site at VEAP and begin every weekday at 9:00 a.m., 11:00 a.m., and 2:00 p.m. Evening driving shifts now available on the 1st and 3rd Thursday of each month at 4:30 - 7:00 p.m.

Info and sign up at https://veap.org/now-seeking-volunteer-van-drivers/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-BUS-(1 block),
The Open Door Food Pantry •••By Appointment Only•••,2/1/2023 10:11am,South Suburbs,"3000 Ames Crossing Road, Suite 100, Eagan, MN 55121",44.8492800,-93.1084700,"Monthly appointments are available for Dakota County residents:
Monday, Tuesday, Wednesday, 10am–3pm
Thursday, 10am–12:15pm
Tuesday and Thursday evening, 5:30–7:30 pm
Fridays, 10am–12pm
Call to make an appointment: 651-686-0787

Clients are required to self-report income, but there are no income or citizenship requirements. Bringing a photo ID or mail showing your current address is recommended but not required.

The Open Door's Mobile Food Pantry also makes stops all over Dakota County. Calendar available here: https://theopendoorpantry.org/events/category/get-food/",no,never,,no,----,,,(as of 12/2022) financial donations: https://theopendoorpantry.org/how-to-give/financial-giving/,,(as of 12/2022) Yes! See info here: https://theopendoorpantry.org/get-involved/volunteer/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://theopendoorpantry.org/how-to-give/financial-giving/,,,,,,,,,checked,,,,489-BUS-(1 block),
Feeding Frogtown — West Minnehaha Recreational Center,5/15/2024 11:40am,West Frogtown,"685 W Minnehaha Ave, St. Paul, MN 55104",44.9639631,-93.1294221,"Grocery distribution usually 2 Fridays per month: 3pm-6pm.

2024 dates:
February 9
March 8 & 22
April 5 & 19
May 3, 17, & 31
June 14 & 28
July 12 & 26
August 9 & 23
September 6 & 20
October 4 & 18
November 1, 15, & 29
December 13 & 27

Facebook Event: https://www.facebook.com/events/370100005608801/ ",no,----,,no,----,,,,,"If you're interested in volunteering, email or call:
ctdFNA@gmail.com
or 651-236-8699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisters' Camelot Food Share: Hosmer Library,4/11/2024 11:31pm,Powderhorn,"347 E 36th St, Minneapolis, MN 55408",44.9374800,-93.2705400,"Sisters' Camelot shares food on Tuesdays & Thursdays. Hours and location vary - see Facebook page for most current information: 
https://www.facebook.com/SistersFoodshare/ 

The beloved kitchen bus needs new tires and other mechanical repairs in order to continue traveling safely. To learn more, share, and/or donate:
Facebook post: https://www.facebook.com/SistersFoodshare/posts/1370004926841779 
GiveMN Campaign: https://www.givemn.org/story/Sq5i5g 

Sisters' Camelot's frequent locations include:
- Walker Church (3104 16th Ave S in Minneapolis)
- Soup for You (2511 Franklin Ave East in Minneapolis)
- Park Avenue Church (3400 Park Avenue South in Minneapolis)
- UROC (2001 Plymouth Ave N in Minneapolis)
- St. Mary's University Center (2540 Park Avenue South in Minneapolis)",no,never,,no,not today,,Clean paper grocery bags- can be dropped off at any Sisters' Camelot foodshare or kitchen bus event.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.givemn.org/organization/Sisterscamelot,,,,checked,,,,checked,,,,,11-BUS-(1 block),checked
